symbol,split,scenario,initial_capital,final_equity,net_return,buy_hold_return,excess_vs_buy_hold,cagr,max_drawdown,sharpe_hourly_annualized,trades,win_rate,profit_factor,expectancy_usdt,average_holding_bars,start,end
BTCUSDT,development,base,10000.0,5864.131275821685,-0.41358687241783143,0.3544061471471174,-0.7679930195649488,-0.19246220262290736,-0.4423473764297039,-1.9433665536303955,218,0.3073394495412844,0.5789117532768557,-18.9718748815519,24.545871559633028,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
BTCUSDT,development,stress,10000.0,4836.7076333436435,-0.5163292366656356,0.35170003187554744,-0.868029268541183,-0.2524185568809274,-0.5174833087299231,-2.6624189254419712,218,0.29357798165137616,0.4844414171010473,-23.684827369983285,24.972477064220183,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
BTCUSDT,validation,base,10000.0,8441.28585492994,-0.15587141450700603,0.31139966866821855,-0.4672710831752246,-0.20221548026780722,-0.17692123757868927,-2.0529363925122786,78,0.32051282051282054,0.6579986618241328,-19.983514680385387,20.21794871794872,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
BTCUSDT,validation,stress,10000.0,7776.691965277832,-0.2223308034722168,0.3087794807150037,-0.5311102841872205,-0.2848382661511111,-0.24171324917406167,-3.0157376549045547,77,0.3116883116883117,0.5323956185895231,-28.87413032106711,21.415584415584416,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
BTCUSDT,oos,base,10000.0,8626.06361002782,-0.1373936389972179,-0.24031447472024936,0.10292083572303146,-0.10493335529757153,-0.20493984374316498,-0.9485657695871447,128,0.359375,0.8008494328694693,-10.73387804665765,23.0625,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
BTCUSDT,oos,stress,10000.0,7001.988435747315,-0.2998011564252685,-0.24183233301252038,-0.057968823412748116,-0.2345688908435991,-0.3493026111266727,-2.3302814871847373,127,0.33070866141732286,0.5714065826565045,-23.606390269706182,24.070866141732285,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ETHUSDT,development,base,10000.0,6310.83465927097,-0.3689165340729029,-0.06737175393611994,-0.301544780136783,-0.16836564588202174,-0.4015362336669285,-1.800347804499778,197,0.3096446700507614,0.6240651058322868,-18.726727617913856,25.82741116751269,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ETHUSDT,development,stress,10000.0,5151.2502851149,-0.48487497148851,-0.0692351532899157,-0.4156398181985943,-0.2333138096195294,-0.4895506459705613,-2.614660745179228,196,0.29081632653061223,0.5063510506068762,-24.738518953495408,26.586734693877553,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ETHUSDT,validation,base,10000.0,9010.988457254734,-0.09890115427452661,-0.4714224090972826,0.372521254822756,-0.12963551058272194,-0.12516522028625499,-1.2895342943825576,61,0.36065573770491804,0.7058255663647067,-16.213303979430584,26.557377049180328,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ETHUSDT,validation,stress,10000.0,8694.934224459148,-0.13050657755408523,-0.47247851172496513,0.3419719341708799,-0.1700959333408011,-0.1487547909320439,-1.780313652085406,61,0.32786885245901637,0.6285816587281878,-21.39452091050577,26.918032786885245,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
